"","OutsideTemp","Wind","TankTemp","InsideTemp","EnergyCirculationPump","GreenEnergy","DeltaTemp"
"211",0.1,4,54.31555092,19.00103739,0.003511056,0,0.00029616
"212",0.225,3.75,54.2979821,18.99958957,0.003520246,0,-0.00144782
"213",0.35,3.5,54.28330087,19.00067627,0.003530142,0,0.0010867
"214",0.475,3.25,54.27093256,18.99897863,0.003532423,0,-0.00169764
"215",0.6,3,54.26041257,19.00093988,0.003536191,0,0.00196125
"216",0.625,3.25,54.25001114,18.99899926,0.003559386,0,-0.00194062
"217",0.65,3.5,54.23826728,18.99907259,0.003596737,0,7.33e-05
"218",0.675,3.75,54.22520267,19.00059964,0.003638384,0,0.00152705
"219",0.7,4,54.21226728,18.99962998,0.003667266,0,-0.00096966
"220",0.85,4,53.57746792,18.99998114,0.012859226,0,0.00035116
"221",1,4,53.21937373,18.99987572,0.012070375,0,-0.00010542
"222",1.15,4,53.2041298,19.00082195,0.010461022,0,0.00094623
"223",1.3,4,53.245109,19.00027805,0.009881959,0,-0.0005439
"224",1.45,3.75,53.30371454,18.99981766,0.009681698,0,-0.00046039
"225",1.6,3.5,53.34890976,18.99937386,0.00956307,0,-0.0004438
"226",1.75,3.25,53.38145205,19.00061256,0.009474268,0,0.0012387
"227",1.9,3,53.40586507,19.00049534,0.009378749,0,-0.00011722
"228",2.15,3.75,53.42418224,18.99966285,0.00932086,0,-0.00083249
"229",2.4,4.5,53.43695728,18.99961079,0.009281253,0,-5.21e-05
"230",2.65,5.25,53.44754954,19.00032278,0.009210218,0,0.00071199
"231",2.9,6,53.45675807,19.00005525,0.00916831,0,-0.00026753
"232",3.075,6,53.25521057,19.00054451,0.014206889,0,0.00048926
"233",3.25,6,53.15524351,19.00050701,0.010716369,0,-3.75e-05
"234",3.425,6,53.18558002,19.00017178,0.011736557,0,-0.00033523
"235",3.6,6,53.18523813,18.99957205,0.011182168,0,-0.00059973
"236",3.525,6.5,53.32967171,18.8963944,0.008276017,0,-0.10317765
"237",3.45,7,53.46303304,18.76464585,0.008397469,0,-0.13174855
"238",3.375,7.5,53.53049811,18.7631766,0.008181616,0,-0.00146925
"239",3.3,8,53.53003203,18.76400464,0.008820013,0,0.00082804
"240",3.35,8.25,53.74278222,17.61662759,0.003704315,0,-1.14737705
"241",3.4,8.5,54.0447637,17.17319715,0.003699841,0,-0.44343044
"242",3.45,8.75,54.20236749,17.01694274,0.003694038,0,-0.15625441
"243",3.5,9,54.28736938,16.76223666,0.003674447,0,-0.25470608
"244",3.6,9.25,54.11005932,16.66370897,0.003645374,0,-0.09852769
"245",3.7,9.5,53.70698074,16.65919041,0.003629869,0,-0.00451856
"246",3.8,9.75,53.31750025,16.66169654,0.003598433,0,0.00250613
"247",3.9,10,52.94002464,16.64548527,0.003593989,0,-0.01621127
"248",4.025,9.75,52.57308105,16.62515768,0.003574052,0,-0.02032759
"249",4.15,9.5,52.21670317,16.61177556,0.003553384,0,-0.01338212
"250",4.275,9.25,51.87013912,16.6058432,0.003533154,0,-0.00593236
"251",4.4,9,51.53210841,16.59840138,0.003525124,0,-0.00744182
"252",4.35,9,51.19844016,16.58282975,0.003585857,0,-0.01557163
"253",4.3,9,50.86674732,16.56607882,0.003629328,0.03750092,-0.01675093
"254",4.25,9,50.53647461,16.55329263,0.003706152,0.037826763,-0.01278619
"255",4.2,9,50.20735237,16.53580202,0.003760158,0.038153736,-0.01749061
"256",4.3,9.25,49.88063749,16.51377161,0.003811636,0.038421059,-0.02203041
"257",4.4,9.5,49.5568268,16.49819405,0.003854534,0.0386894,-0.01557756
"258",4.5,9.75,49.23647975,16.4908381,0.003891363,0.039265595,-0.00735595
"259",4.6,10,48.91920051,16.4816078,0.003942758,0.039844971,-0.0092303
"260",4.625,10,50.33423541,16.46782861,0.003982161,0.040461278,-0.01377919
"261",4.65,10,52.32750601,16.45156256,0.00397124,0.042132213,-0.01626605
"262",4.675,10,53.29894536,16.43838812,0.003911372,0.040372483,-0.01317444
"263",4.7,10,53.81961138,16.42328477,0.003859752,0.039445394,-0.01510335
"264",4.85,10,53.37624426,19.49744475,0.018672773,0.040059204,3.07415998
"265",5,10,53.04165208,19.80693451,0.015858898,0.040295767,0.30948976
"266",5.15,10,52.97285834,19.73029457,0.01557801,0.013485022,-0.07663994
"267",5.3,10,52.92184566,19.72824365,0.01308474,0.012870226,-0.00205092
"268",5.375,9.5,52.95421923,19.72769018,0.012746143,0,-0.00055347
"269",5.45,9,52.96160622,19.72916186,0.012449347,0,0.00147168
"270",5.525,8.5,52.9660001,19.72640997,0.012102647,0,-0.00275189
"271",2.4,8,52.93958514,19.73050358,0.01314706,0,-0.00067793
"272",2.525,8,53.31116745,19.04406339,0.004250686,0,-0.68644019
"273",2.65,8,53.73778019,18.99983662,0.004572718,0,-0.04422677
"274",2.775,8,53.94509782,18.99979323,0.004530324,0,-4.34e-05
"275",2.9,8,54.026208,18.99993294,0.004643847,0,0.00013971
"276",2.7,8.25,54.0547366,18.99958751,0.004627434,0,-0.00034543
